product,date,price
product_0,2019-12-01,90.0
product_0,2019-12-02,90.0
product_0,2019-12-03,90.0
product_0,2019-12-04,90.0
product_0,2019-12-05,90.0
product_0,2019-12-06,90.0
product_0,2019-12-07,90.0
product_0,2019-12-08,90.0
product_0,2019-12-09,90.0
product_0,2019-12-10,90.0
product_0,2019-12-11,90.0
product_0,2019-12-12,90.0
product_0,2019-12-13,90.0
product_0,2019-12-14,90.0
product_0,2019-12-15,90.0
product_0,2019-12-16,90.0
product_0,2019-12-17,90.0
product_0,2019-12-18,90.0
product_0,2019-12-19,90.0
product_0,2019-12-20,90.0
product_0,2019-12-21,90.0
product_0,2019-12-22,90.0
product_0,2019-12-23,90.0
product_0,2019-12-24,90.0
product_0,2019-12-25,90.0
product_0,2019-12-26,90.0
product_0,2019-12-27,90.0
product_0,2019-12-28,90.0
product_0,2019-12-29,90.0
product_0,2019-12-30,90.0
product_0,2019-12-31,90.0
product_0,2020-01-01,90.0
product_0,2020-01-02,90.0
product_0,2020-01-03,90.0
product_0,2020-01-04,90.0
product_0,2020-01-05,90.0
product_0,2020-01-06,90.0
product_0,2020-01-07,90.0
product_0,2020-01-08,90.0
product_0,2020-01-09,90.0
product_0,2020-01-10,90.0
product_0,2020-01-11,90.0
product_0,2020-01-12,90.0
product_0,2020-01-13,90.0
product_0,2020-01-14,90.0
product_0,2020-01-15,90.0
product_0,2020-01-16,90.0
product_0,2020-01-17,90.0
product_0,2020-01-18,90.0
product_0,2020-01-19,90.0
product_0,2020-01-20,90.0
product_0,2020-01-21,90.0
product_0,2020-01-22,90.0
product_0,2020-01-23,90.0
product_0,2020-01-24,90.0
product_0,2020-01-25,90.0
product_0,2020-01-26,90.0
product_0,2020-01-27,90.0
product_0,2020-01-28,90.0
product_0,2020-01-29,90.0
product_0,2020-01-30,90.0
product_0,2020-01-31,90.0
product_0,2020-02-01,90.0
product_0,2020-02-02,90.0
product_0,2020-02-03,90.0
product_0,2020-02-04,90.0
product_0,2020-02-05,90.0
product_0,2020-02-06,90.0
product_0,2020-02-07,90.0
product_0,2020-02-08,90.0
product_0,2020-02-09,90.0
product_0,2020-02-10,90.0
product_0,2020-02-11,90.0
product_0,2020-02-12,90.0
